st_name,st_code,dcode,dist_name,total_project,project_area,project_cost
ANDHRA PRADESH,28,745,Alluri Sitharama Raju,1,5000,1100
ANDHRA PRADESH,28,744,Anakapalli,2,10000,2200
ANDHRA PRADESH,28,502,ANANTAPUR,7,23303,6347.24
ANDHRA PRADESH,28,753,Annamayya,10,47218,10387.96
ANDHRA PRADESH,28,503,CHITTOOR,7,27542,6059.24
ANDHRA PRADESH,28,511,KURNOOL,5,24276,5340.72
ANDHRA PRADESH,28,755,Nandyal,2,9763,2147.86
ANDHRA PRADESH,28,743,Parvathipuram Manyam,1,4827,1061.94
ANDHRA PRADESH,28,517,PRAKASAM,8,30672,6747.84
ANDHRA PRADESH,28,754,Sri Sathya Sai,3,9027,2527.56
ANDHRA PRADESH,28,520,VISAKHAPATANAM,1,5000,1100
ANDHRA PRADESH,28,521,VIZIANAGARAM,3,8164,1796.08
ANDHRA PRADESH,28,504,Y.S.R.,9,39613,8714.86
ARUNACHAL PRADESH,12,628,ANJAW,1,2000,560
ARUNACHAL PRADESH,12,229,CHANGLANG,5,10000,2800
ARUNACHAL PRADESH,12,230,DIBANG VALLEY,1,2000,560
ARUNACHAL PRADESH,12,231,EAST KAMENG,4,11000,3080
ARUNACHAL PRADESH,12,232,EAST SIANG,3,6000,1680
ARUNACHAL PRADESH,12,718,KAMLE,1,2915,816.2
ARUNACHAL PRADESH,12,677,KRA DAADI,2,5500,1540
ARUNACHAL PRADESH,12,233,KURUNG KUMEY,5,10000,2800
ARUNACHAL PRADESH,12,724,LEPARADA,2,4500,1260
ARUNACHAL PRADESH,12,234,LOHIT,1,2000,560
ARUNACHAL PRADESH,12,666,LONGDING,3,6000,1680
ARUNACHAL PRADESH,12,235,LOWER DIBANG VALLEY,2,4000,1120
ARUNACHAL PRADESH,12,719,LOWER SIANG,2,6300,1764
ARUNACHAL PRADESH,12,236,LOWER SUBANSIRI,4,10500,2940
ARUNACHAL PRADESH,12,678,NAMSAI,3,6000,1680
ARUNACHAL PRADESH,12,723,PAKKE KESSANG,1,2000,560
ARUNACHAL PRADESH,12,237,PAPUM PARE,4,9000,2520
ARUNACHAL PRADESH,12,725,SHI YOMI,1,2000,560
ARUNACHAL PRADESH,12,679,SIANG,2,4000,1120
ARUNACHAL PRADESH,12,238,TAWANG,3,7000,1960
ARUNACHAL PRADESH,12,239,TIRAP,4,8000,2240
ARUNACHAL PRADESH,12,240,UPPER SIANG,2,4000,1120
ARUNACHAL PRADESH,12,241,UPPER SUBANSIRI,4,9200,2576
ARUNACHAL PRADESH,12,242,WEST KAMENG,4,8000,2240
ARUNACHAL PRADESH,12,243,WEST SIANG,4,9000,2520
ASSAM,18,616,BAKSA,1,4700,1034
ASSAM,18,280,BARPETA,1,4917,1081.74
ASSAM,18,281,BONGAIGAON,1,3637,800.21
ASSAM,18,282,CACHAR,1,3421,752.62
